127.0.0.1 - - [23/Nov/2022:09:11:48 +0900] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:12:20 +0900] "GET /FinalProject/index.jsp HTTP/1.1" 200 6950
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:12:20 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/image/food1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:12:20 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/image/food2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:12:20 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/image/food3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:12:20 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/image/homecheflogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:12:21 +0900] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:12:38 +0900] "GET /FinalProject/index.jsp HTTP/1.1" 200 6950
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:12:41 +0900] "GET /FinalProject/index.jsp HTTP/1.1" 200 6950
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:17:43 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1389
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:19:03 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:19:23 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:20:25 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:20:27 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:20:27 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:20:28 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:20:28 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:20:28 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:20:29 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:20:29 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:20:30 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:20:47 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:20:58 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:21:04 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1341
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:21:09 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1341
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:21:16 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1341
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:21:18 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1341
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:21:19 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1341
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:21:19 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1341
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:21:20 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1341
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:21:43 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:24:54 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:25:16 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:25:22 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:25:44 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:25:44 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:25:45 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:25:46 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:25:46 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:27:58 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp? HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:28:05 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1212
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:28:15 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:28:34 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:29:38 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:29:38 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/image/homecheflogo.png HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:29:47 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:29:48 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/image/homecheflogo.png HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:30:32 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:30:32 +0900] "GET /FinalProject/src/main/webapp/com/yju/2wda/2101198/controller/image/homecheflogo.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:30:43 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1408
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:30:43 +0900] "GET /FinalProject/src/main/webapp/com/yju/2wda/2101198/controller/image/homecheflogo.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:30:43 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1408
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:30:43 +0900] "GET /FinalProject/src/main/webapp/com/yju/2wda/2101198/controller/image/homecheflogo.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:31:28 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:31:28 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:31:44 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1370
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:31:44 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:31:50 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:31:50 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:32:30 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:32:30 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:32:38 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:32:38 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:33:14 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1352
